n_estimators,learning_rate,subsample,colsample_bytree,scale_pos_weight,auc_train,auc_test1,auc_test2
100,0.01,0.5,0.5,1,0.9514264269108945,0.9454336314908129,0.9447631176045993
100,0.01,0.5,0.5,5,0.9499039667149313,0.944329222587103,0.9434355578671771
100,0.01,0.5,0.5,10,0.9493560781438767,0.9436163936922667,0.9425884073575952
100,0.01,0.5,1.0,1,0.9519432801877764,0.9454096989883275,0.9445863299960126
100,0.01,0.5,1.0,5,0.9503999388275125,0.9443851388732566,0.9430252247414028
100,0.01,0.5,1.0,10,0.949588608162551,0.9435599793887202,0.9421629996410865
100,0.01,0.8,0.5,1,0.9517949588819667,0.9455568077926221,0.944721572585731
100,0.01,0.8,0.5,5,0.9501310274640535,0.9440803660627044,0.943219493343282
100,0.01,0.8,0.5,10,0.9496702267370771,0.9438861669471611,0.9427842663979462
100,0.01,0.8,1.0,1,0.952085523751124,0.9450656104713799,0.9445982237098032
100,0.01,0.8,1.0,5,0.9505063237738469,0.943910708137571,0.9430771421850886
100,0.01,0.8,1.0,10,0.9498674862868752,0.9432121280736943,0.9422383587648596
100,0.1,0.5,0.5,1,0.9635805881847213,0.9489151465792457,0.9487865535314481
100,0.1,0.5,0.5,5,0.963390282248099,0.9485869254497843,0.9480916425583855
100,0.1,0.5,0.5,10,0.962229921232356,0.948126287029115,0.9475811671284747
100,0.1,0.5,1.0,1,0.9649721511222121,0.9483926433313424,0.9488212250901377
100,0.1,0.5,1.0,5,0.9647652246019596,0.9482075468670335,0.9476655295169889
100,0.1,0.5,1.0,10,0.9636902517711009,0.9478447135287753,0.9477779527721093
100,0.1,0.8,0.5,1,0.9647763073199267,0.9491799119925797,0.9486779058389616
100,0.1,0.8,0.5,5,0.9646731463908079,0.9490555598163711,0.9486129744596049
100,0.1,0.8,0.5,10,0.9641353846382108,0.9484349056406446,0.9480318282419387
100,0.1,0.8,1.0,1,0.9667651740694911,0.9493215841070034,0.9485548888806277
100,0.1,0.8,1.0,5,0.966214145320912,0.9488909789018807,0.9480477602864582
100,0.1,0.8,1.0,10,0.9653392559130863,0.9482312856960883,0.9483252295652721
300,0.01,0.5,0.5,1,0.9553985113932552,0.9479173410652192,0.9470964982915093
300,0.01,0.5,0.5,5,0.9547356824164692,0.947471477160535,0.9464061373554665
300,0.01,0.5,0.5,10,0.9545207269754867,0.9470181706625922,0.9459469985134519
300,0.01,0.5,1.0,1,0.9563772330828779,0.9478662389471958,0.9472443952395051
300,0.01,0.5,1.0,5,0.9556295081618194,0.9475104746891513,0.9464714283122169
300,0.01,0.5,1.0,10,0.9554578921248412,0.9472505372777639,0.9461035391487951
300,0.01,0.8,0.5,1,0.9558905836898975,0.9479131770864633,0.9471238123435285
300,0.01,0.8,0.5,5,0.9552002044824662,0.9472597782671629,0.9465324873196416
300,0.01,0.8,0.5,10,0.9550494613528494,0.9471484713798812,0.9462600521243391
300,0.01,0.8,1.0,1,0.9568133881163894,0.9476896087785637,0.947277448699923
300,0.01,0.8,1.0,5,0.9560967042058459,0.9472906138440645,0.9465697174097859
300,0.01,0.8,1.0,10,0.9560148391934398,0.9470262911128576,0.9461533959374172
300,0.1,0.5,0.5,1,0.9801677883739857,0.947858021660215,0.947165011614903
300,0.1,0.5,0.5,5,0.9788376932682724,0.9470820413932136,0.9464266609267051
300,0.1,0.5,0.5,10,0.9766695931376653,0.9462478345927088,0.9462464158431791
300,0.1,0.5,1.0,1,0.9834012623259591,0.9468099302233365,0.9463026067258894
300,0.1,0.5,1.0,5,0.9818798374231521,0.946608772698111,0.9461437150075875
300,0.1,0.5,1.0,10,0.9795427101236072,0.9457582696618096,0.9449693628996676
300,0.1,0.8,0.5,1,0.9814807369925513,0.9485916427811991,0.9481194821465951
300,0.1,0.8,0.5,5,0.9805361818825375,0.948113241740188,0.9478349457890058
300,0.1,0.8,0.5,10,0.9792087162944115,0.9473342595350132,0.947137296495791
300,0.1,0.8,1.0,1,0.9845726831942985,0.9484111806454063,0.9475705181056623
300,0.1,0.8,1.0,5,0.9830480241118886,0.9474665799895062,0.9471257485294945
300,0.1,0.8,1.0,10,0.9814514877378607,0.9465797493511663,0.9465766185297644
