feature,importance
B_33_min,0.000743025
R_21_mean,0.00074232474
D_117_6.0_mean,0.00074181345
B_30_2.0_sum,0.00074176653
R_28_min,0.00074166263
D_64_U_mean,0.0007413965
D_70_min,0.00074094447
S_25_min,0.0007383481
R_8_last,0.0007372621
R_1_min,0.000736637
R_3_sum,0.0007357699
B_6_last,0.00073569425
P_4_max,0.00073448766
D_139_min,0.00073334156
R_11_sum,0.00073249295
B_28_max,0.00073185435
D_51_last,0.0007306716
D_128_sum,0.0007277495
D_113_sum,0.0007270829
D_78_max,0.0007266947
B_8_min,0.00072661944
B_8_last,0.00072638085
D_71_min,0.00072279014
B_22_min,0.00072273536
R_14_mean,0.00072108
B_12_sum,0.000720753
B_25_sum,0.00071920466
D_139_last,0.0007191081
D_89_max,0.0007177181
S_6_last,0.00071747357
D_145_last,0.00071599596
S_20_mean,0.0007157003
B_9_min,0.00071466475
D_60_max,0.00071396335
D_140_min,0.0007137709
B_13_min,0.0007132308
R_22_min,0.00071290403
D_82_last,0.00071077974
R_14_last,0.00071021105
D_75_min,0.0007092529
S_16_min,0.00070902123
D_93_last,0.0007088357
S_15_last,0.00070871186
D_105_last,0.00070838147
B_40_sum,0.0007080838
B_12_last,0.00070806104
D_144_min,0.0007078244
D_145_min,0.00070656586
R_13_last,0.00070623023
D_103_mean,0.00070454396
D_70_last,0.00070325314
D_117_2.0_mean,0.00070289924
D_81_sum,0.00070239394
D_109_mean,0.0007019495
B_25_last,0.00070166786
R_11_min,0.0007006811
D_123_min,0.000700525
S_13_sum,0.0007002069
R_20_min,0.00070018804
D_120_1.0_sum,0.0006996683
D_144_max,0.00069954025
B_15_mean,0.00069831026
D_54_min,0.00069677405
R_27_last,0.00069654203
D_83_min,0.0006934927
R_23_max,0.0006934681
R_13_sum,0.0006933254
D_65_min,0.00069323904
R_17_max,0.00069277367
D_115_min,0.00069198816
S_13_mean,0.00069007406
D_126_1.0_mean,0.0006900717
D_68_4.0_sum,0.0006889962
D_133_mean,0.000688561
R_17_min,0.0006884471
B_12_min,0.00068805466
R_10_max,0.0006876833
D_142_mean,0.00068686897
D_123_max,0.0006850887
D_134_last,0.0006848353
D_133_min,0.0006842914
P_2_min,0.00068425725
D_58_max,0.0006835749
D_94_last,0.00068352674
S_26_min,0.0006835174
B_12_max,0.00068332953
D_96_max,0.0006817137
B_19_min,0.0006815761
S_27_min,0.000681158
S_22_max,0.0006806007
B_19_mean,0.0006799018
D_113_max,0.00067977695
D_129_sum,0.0006795409
R_19_last,0.00067953626
R_7_max,0.0006776454
R_25_sum,0.0006772275
D_39_sum,0.00067663385
D_103_max,0.00067624403
B_25_min,0.0006759015
D_94_min,0.0006744492
R_7_mean,0.00067398563
B_4_mean,0.00067357335
D_91_min,0.0006733386
D_108_min,0.00067234354
S_9_last,0.0006718577
S_27_last,0.0006718007
D_125_mean,0.0006704992
D_112_min,0.00066845573
S_12_min,0.00066842703
D_144_last,0.00066767965
D_88_max,0.0006670373
D_45_last,0.00066411216
D_43_min,0.0006626714
P_4_min,0.0006609385
B_9_sum,0.0006608768
D_130_max,0.00066085
D_84_min,0.00066083926
B_33_sum,0.0006602878
D_61_min,0.0006578705
S_26_last,0.0006574805
D_127_mean,0.0006557881
D_73_mean,0.0006552767
D_113_last,0.0006547822
S_17_min,0.0006544411
D_69_mean,0.0006543809
D_125_min,0.00065217627
D_130_last,0.0006521045
R_12_mean,0.0006510785
D_71_max,0.00065087713
D_59_sum,0.0006507814
D_45_min,0.0006504912
D_105_sum,0.00065026945
R_4_min,0.00064918405
B_7_sum,0.0006489475
D_61_last,0.00064714474
D_96_min,0.00064688263
R_13_mean,0.00064656854
R_16_min,0.0006462974
D_44_min,0.0006437316
D_80_min,0.0006436823
R_25_min,0.0006430642
S_15_min,0.00064301456
S_18_last,0.0006428285
D_77_min,0.00064271875
D_143_last,0.00064189837
D_104_last,0.00064114603
B_41_mean,0.00064106204
D_92_min,0.0006402081
D_84_mean,0.0006401582
D_52_sum,0.00063924753
D_68_3.0_mean,0.00063723524
B_33_last,0.0006370292
D_69_min,0.00063669187
D_54_max,0.0006364611
D_107_last,0.000635194
D_123_last,0.00063369045
D_145_mean,0.0006329228
D_86_last,0.0006328354
B_27_last,0.00063281954
D_138_last,0.0006326827
B_26_max,0.00063154276
D_144_sum,0.00063105085
S_27_sum,0.0006307124
B_38_5.0_sum,0.0006299653
P_2_max,0.0006294597
B_27_max,0.0006293412
D_83_mean,0.00062833354
D_93_sum,0.00062814896
R_3_max,0.0006279343
S_17_mean,0.0006241115
B_24_max,0.0006238505
D_89_min,0.0006236335
D_103_last,0.0006232035
R_6_mean,0.0006231523
D_53_mean,0.00062212296
R_22_max,0.0006203799
D_91_sum,0.0006203634
S_16_last,0.00061685825
R_18_max,0.0006163813
S_7_min,0.0006162226
R_28_mean,0.0006143704
R_8_min,0.00061250606
D_47_min,0.00061249296
S_5_mean,0.0006121368
R_24_mean,0.00061178475
D_96_sum,0.0006112808
D_83_last,0.00061094994
S_25_max,0.000610224
S_6_min,0.0006091836
D_118_last,0.0006087805
D_130_mean,0.00060827757
B_3_min,0.00060778647
D_89_sum,0.00060679705
R_6_sum,0.00060678995
D_58_mean,0.0006056112
B_36_sum,0.0006043908
S_16_max,0.00060406077
D_62_mean,0.0006038619
D_125_sum,0.00060354226
P_4_last,0.0006031362
D_79_max,0.00060313515
D_75_sum,0.0006031351
S_17_max,0.00060287176
D_55_max,0.0006026271
D_92_last,0.0006018105
D_91_max,0.0006010449
R_23_last,0.0005986478
S_22_mean,0.00059858937
R_18_last,0.0005975773
R_9_mean,0.00059757475
R_8_mean,0.00059711613
D_142_last,0.0005968549
D_77_max,0.00059502036
R_27_mean,0.0005950093
S_19_max,0.000593989
D_126_0.0_sum,0.00059358025
D_86_sum,0.00059349486
R_9_min,0.0005934202
D_107_max,0.0005932406
B_18_last,0.0005926284
B_15_last,0.0005925127
D_128_last,0.0005917919
R_16_max,0.00059151393
D_51_max,0.0005913274
R_28_last,0.0005911099
D_109_last,0.00059022376
B_22_max,0.0005880977
D_41_mean,0.00058634725
D_84_max,0.000583768
D_59_min,0.0005830797
S_13_max,0.00058290915
D_94_mean,0.00058033643
D_109_max,0.00057990523
D_114_1.0_mean,0.0005795022
S_23_mean,0.0005786038
D_102_last,0.00057793985
R_5_mean,0.00057785056
R_14_max,0.00057726615
R_22_last,0.0005770808
S_19_min,0.00057338894
D_68_2.0_mean,0.00057247834
D_55_mean,0.00057242287
R_6_min,0.0005710364
R_5_min,0.00056965585
S_25_mean,0.0005695059
R_19_mean,0.000568509
D_143_max,0.00056631066
D_60_last,0.0005647272
R_20_last,0.00056449557
D_140_sum,0.0005639394
D_91_mean,0.00056390854
B_36_min,0.000563596
D_137_mean,0.0005635835
S_18_max,0.0005634579
R_24_last,0.00056231563
D_93_max,0.0005622726
R_10_last,0.000561649
S_18_mean,0.0005589369
S_8_min,0.0005565003
R_17_mean,0.00055481406
R_2_max,0.0005539969
D_141_max,0.0005523013
D_93_mean,0.0005494063
D_93_min,0.0005488633
D_115_last,0.00054871343
D_140_mean,0.0005485879
S_19_last,0.0005483243
D_127_last,0.0005477385
B_41_min,0.0005471282
B_10_mean,0.00054609246
R_20_max,0.000545732
D_129_max,0.00054567144
B_30_2.0_mean,0.00054512976
S_20_last,0.00054181827
D_83_max,0.0005409178
R_14_min,0.00054059573
B_32_min,0.0005403662
D_80_last,0.0005403515
D_75_max,0.000539948
D_60_sum,0.00053967035
